personId,firstName,lastName,height,bodyWeight,draftYear
76071,Chet,Aubuchon,70.0,137.0,-1.0
76073,John,Austin,72.0,76073.0,1966.0
76074,Ken,Austin,81.0,76074.0,1983.0
76089,Norm,Baker,72.0,180.0,-1.0
76090,Cedric,Ball,80.0,210.0,-1.0
76092,Herschel,Baltimore,76.0,195.0,-1.0
76102,Don,Barksdale,78.0,200.0,-1.0
76103,Harry,Barnes,75.0,76103.0,1968.0
76107,Dick,Barnett,76.0,76107.0,1959.0
76109,Norton,Barnhill,76.0,76109.0,1976.0
76111,John,Barr,75.0,205.0,-1.0
76112,Mike,Barr,75.0,76112.0,1972.0
76113,Thomas,Barr,76.0,76113.0,-22.0
76117,Ed,Bartels,78.0,195.0,-1.0
76119,Jerry,Baskerville,79.0,76119.0,-22.0
76123,Kenny,Battle,78.0,76123.0,1989.0
76126,Frankie,Baumholtz,70.0,170.0,-1.0
76128,Sergei,Bazarevich,74.0,168.0,-1.0
76137,Moe,Becker,73.0,185.0,-1.0
76138,William,Bedford,84.0,76138.0,1986.0
76139,Hank,Beenders,77.0,76139.0,-22.0
76143,William,Bell,72.0,180.0,-1.0
76151,Mel,Bennett,79.0,76151.0,-22.0
76159,Del,Beshore,71.0,76159.0,-22.0
76160,Al,Bianchi,75.0,76160.0,1954.0
76161,Hank,Biasatti,71.0,76161.0,-22.0
76166,Dave,Bing,75.0,76166.0,1966.0
76171,Gale,Bishop,75.0,195.0,-1.0
76173,Charlie,Black,76.0,200.0,-1.0
76174,Norman,Black,77.0,185.0,-1.0
76175,Tom,Black,82.0,76175.0,1964.0
76176,Rolando,Blackman,78.0,76176.0,1981.0
76180,Alex,Blackwell,78.0,250.0,-1.0
76182,George,Blaney,73.0,76182.0,1961.0
76188,Mike,Bloom,78.0,190.0,-1.0
76192,Tom,Boerwinkle,84.0,76192.0,1968.0
76203,George H.,Bon Salle,80.0,76203.0,1957.0
76207,Jake,Bornheimer,77.0,200.0,-1.0
76210,Vince,Boryla,77.0,210.0,-1.0
76211,Jim,Bostic,79.0,76211.0,1975.0
76219,Nate,Bowman,82.0,76219.0,1965.0
76224,Harry,Boykoff,81.0,225.0,-1.0
76228,Alex,Bradley,78.0,76228.0,1981.0
76232,Joe,Bradley,75.0,175.0,-1.0
76238,Bob,Brannum,78.0,215.0,-1.0
76239,Brad,Branson,82.0,76239.0,1980.0
76240,Jesse,Branson,79.0,76240.0,1965.0
76243,Carl,Braun,77.0,180.0,-1.0
76246,Tom,Brennan,75.0,76246.0,-22.0
76250,Frank,Brian,73.0,180.0,-1.0
76253,Bill,Bridges,77.0,76253.0,1961.0
76254,Al,Brightman,74.0,195.0,-1.0
76255,Audley,Brindley,76.0,175.0,-1.0
76256,John,Brisker,77.0,210.0,-1.0
76258,Tyrone,Britt,76.0,190.0,-1.0
76262,Jim,Brogan,76.0,185.0,-1.0
76264,Price,Brookfield,76.0,185.0,-1.0
76268,Tony,Brown,78.0,76268.0,1982.0
76275,Harold,Brown,72.0,155.0,-1.0
76278,Leon,Brown,75.0,190.0,-1.0
76282,Raymond,Brown,80.0,220.0,-1.0
